Sentence,Word,Label
1,The,0
1,Rocky,1
1,Mountains,0
1,is,0
1,an,0
1,extensive,0
1,mountain,0
1,range,0
1,located,0
1,in,0
1,western,0
1,North,0
1,America,0
1,.,0
2,It,0
2,stretches,0
2,for,0
2,"1,900",0
2,miles,0
2,from,0
2,British,0
2,Columbia,0
2,to,0
2,New,0
2,Mexico,0
2,in,0
2,the,0
2,southwest,0
2,side,0
2,of,0
2,the,0
2,United,0
2,States,0
2,.,0
3,The,0
3,age,0
3,of,0
3,the,0
3,mountain,0
3,is,0
3,estimated,0
3,to,0
3,be,0
3,55,0
3,to,0
3,80,0
3,million,0
3,years,0
3,old,0
3,when,0
3,tectonic,0
3,activities,0
3,and,0
3,erosion,0
3,caused,0
3,plates,0
3,to,0
3,slide,0
3,underneath,0
3,the,0
3,North,0
3,American,0
3,plate,0
3,(,0
3,Bird,0
3,",",0
3,1503,0
3,),0
3,.,0
4,This,0
4,resulted,0
4,in,0
4,dramatic,0
4,formation,0
4,of,0
4,valleys,0
4,and,0
4,peaks,0
4,as,0
4,the,0
4,glaciers,0
4,erupted,0
4,.,0
5,The,0
5,highest,0
5,peak,0
5,of,0
5,the,0
5,ranges,0
5,is,0
5,at,0
5,Mount,0
5,Elbert,1
5,in,0
5,Colorado,0
5,with,0
5,a,0
5,height,0
5,of,0
5,"14,440",0
5,feet,0
5,above,0
5,sea,0
5,level,0
5,.,0
6,Some,0
6,of,0
6,the,0
6,western,0
6,edges,0
6,in,0
6,the,0
6,Rocky,1
6,Mountains,0
6,includes,0
6,ranges,0
6,such,0
6,as,0
6,Wasatch,1
6,",",0
6,Bitterroots,1
6,",",0
6,and,0
6,Sawtooths,0
6,.,0
7,This,0
7,paper,0
7,seeks,0
7,to,0
7,understand,0
7,the,0
7,structural,0
7,geology,0
7,and,0
7,the,0
7,process,0
7,of,0
7,formation,0
7,of,0
7,the,0
7,Rocky,1
7,Mountains,0
7,using,0
7,previous,0
7,studies,0
7,and,0
7,discoveries,0
7,available,0
7,.,0
8,Obtaining,0
8,the,0
8,structural,0
8,formation,0
8,process,0
8,is,0
8,challenging,0
8,",",0
8,but,0
8,different,0
8,literature,0
8,resources,0
8,offer,0
8,clear,0
8,insights,0
8,into,0
8,the,0
8,topic,0
8,.,0
9,Tectonic,0
9,evolution,0
9,of,0
9,the,0
9,earth,0
9,is,0
9,characterized,0
9,by,0
9,movement,0
9,of,0
9,tectonic,0
9,plates,0
9,and,0
9,rocks,0
9,.,0
10,As,0
10,a,0
10,result,0
10,",",0
10,it,0
10,distorted,0
10,the,0
10,general,0
10,shape,0
10,of,0
10,the,0
10,grounds,0
10,to,0
10,form,0
10,extensive,0
10,ranges,0
10,.,0
11,When,0
11,researching,0
11,on,0
11,geological,0
11,data,0
11,about,0
11,the,0
11,Rocky,1
11,Mountains,0
11,",",0
11,the,0
11,sources,0
11,of,0
11,the,0
11,tectonic,0
11,forces,0
11,and,0
11,the,0
11,formation,0
11,of,0
11,the,0
11,crustal,0
11,structure,0
11,fascinated,0
11,me,0
11,.,0
12,The,0
12,geographical,0
12,differences,0
12,between,0
12,before,0
12,formation,0
12,and,0
12,the,0
12,after,0
12,requiring,0
12,adequate,0
12,geological,0
12,data,0
12,to,0
12,explain,0
12,.,0
13,Different,0
13,literature,0
13,sources,0
13,have,0
13,explained,0
13,theories,0
13,on,0
13,the,0
13,origin,0
13,of,0
13,the,0
13,Rocky,1
13,Mountains,0
13,.,0
14,However,0
14,",",0
14,despite,0
14,being,0
14,able,0
14,to,0
14,explain,0
14,some,0
14,of,0
14,these,0
14,theories,0
14,",",0
14,it,0
14,is,0
14,not,0
14,clear,0
14,on,0
